id;group_id;group_sub;prolific_id;used_own_password;isTarget;usedPW;attemptsPW;pw_match;strategy;password_length;pw_length_corrected;digit;upper;lower;special;num_classes;policy_result;generic_policy;guesses;guesses_log10;sequence;calc_time;score;leet;substitution;attemptsStart;shuffle1;shuffle2
1;A;A;55b1c05ffdf99b68190ce691;YES;false;own;2;NO;forgot;17;9;0;3;14;0;2;2class17;basic16;29006555392;10.46249616;3;3;4;NO;null;0;0;0
2;A;A;5669fc987da0350012b39e9f;YES;false;own;1;YES;memorized;8;0;1;2;5;0;3;3class8;3class8;100000001;8.000000004;1;4;2;NO;null;0;0;0
3;B;BD;55390680fdf99b230163b66d;YES;false;own;1;NO;forgot;9;1;3;1;5;0;3;3class9;3class8;1000000001;9;1;1;3;NO;null;0;0;0
4;B;BT;56bd11f8d4e218000ba8dd28;YES;false;own;1;YES;memorized;10;2;3;1;5;1;4;4class10;comp8;5749600000;9.759637632;3;1;3;NO;null;0;0;0
5;B;BD;55887b45fdf99b5a48cf2c1c;YES;false;own;1;NO;forgot;14;6;1;1;12;0;3;3class14;3class12;162950800;8.212056497;3;3;3;NO;null;4;0;0
6;A;A;56a5577281a8ca000d3e4e15;YES;false;own;1;NO;forgot;14;6;0;1;13;0;2;2class14;basic12;196314400;8.292952157;3;1;3;NO;null;0;0;0
8;C;C;55bede0dfdf99b6b67092299;YES;false;own;2;YES;memorized;11;3;4;1;6;0;3;3class11;3class8;3780624;6.577563487;2;1;2;YES;4 -> a;0;0;0
10;A;A;55cf7e8b34e906000ee56498;YES;false;own;1;YES;external;11;3;2;1;8;0;3;3class11;3class8;62200000000;10.79379038;3;2;4;NO;null;0;0;0
11;A;A;5589b65afdf99b118adfa595;YES;false;own;1;NO;forgot;9;1;2;2;5;0;3;3class9;3class8;6290400;6.798678263;2;1;2;NO;null;1;0;0
12;B;BT;55e896085e4d360010cc2e8a;YES;false;own;1;YES;memorized;12;4;3;1;8;0;3;3class12;3class12;1E+12;12;1;7;4;NO;null;1;0;0
13;C;C;5559ece3fdf99b6bb084b07e;YES;false;own;3;YES;memorized;12;4;2;1;9;0;3;3class12;3class12;37600784;7.5751969;2;0;2;YES;0 -> o;0;0;0
15;A;A;55974502fdf99b5dfc68c8c4;YES;false;own;2;YES;cue;11;3;2;2;5;2;4;4class11;comp8;14154040000;10.15088042;3;2;4;NO;null;0;0;0
