condition;emoji;errors;participant;category;dummy
apple;tea;3;LDM06;Food & Drink;emoji
apple;cherry_blossom;3;EMM05;Animals & Nature;emoji
apple;cyclone;3;LLG01;Symbols;emoji
apple;bird;3;SFM04;Animals & Nature;emoji
apple;cherry_blossom;2;TLF01;Animals & Nature;emoji
apple;revolving_hearts;1.5;UJM07;Symbols;emoji
apple;diamond;1.5;UJM07;Symbols;emoji
apple;camel;1;MKM11;Animals & Nature;emoji
apple;cherry_blossom;0.5;IIS07;Animals & Nature;emoji
apple;cyclone;0.5;IIS07;Symbols;emoji
google;white_check_mark;3;SCM09;Symbols;emoji
google;smile;3;CMM12;Smileys & People;emoji
google;diamond;3;BMS06;Symbols;emoji
google;desktop_computer;3;IJE09;Objects;emoji
google;penguin;3;GJL12;Animals & Nature;emoji
google;sweat_smile;2;IRI11;Smileys & People;emoji
google;diamond;1.5;BEM10;Symbols;emoji
google;penguin;1.5;BEM10;Animals & Nature;emoji
google;white_check_mark;1;IFM08;Symbols;emoji
google;blush;1;PSA02;Smileys & People;emoji
google;poultry_leg;1;BMD03;Food & Drink;emoji
google;headphones;1;GGF02;Objects;emoji
