emoji;totalCount;controlCount;experimentalCount;utfEmoji;category
camel;5;4;1;🐫;Animals & Nature
penguin;5;3;2;🐧;Animals & Nature
cherry_blossom;3;3;0;🌸;Animals & Nature
dog;3;2;1;🐶;Animals & Nature
tea;3;3;0;🍵;Food & Drink
grin;3;2;1;😁;Smileys & People
diamond_shape_with_a_dot_inside;3;1;2;💠;Symbols
bird;2;1;1;🐦;Animals & Nature
poultry_leg;2;0;2;🍗;Food & Drink
sweat_smile;2;0;2;😅;Smileys & People
white_check_mark;2;0;2;✅;Symbols
cyclone;2;2;0;🌀;Symbols
tropical_fish;1;1;0;🐠;Animals & Nature
blush;1;0;1;😊;Smileys & People
flushed;1;1;0;😳;Smileys & People
smile;1;0;1;😄;Smileys & People
headphones;1;0;1;🎧;Objects
desktop_computer;1;0;1;🖥️;Objects
computer;1;1;0;💻;Objects
lower_left_fountain_pen;1;0;1;🖋️;Objects
heartpulse;1;0;1;💗;Symbols
revolving_hearts;1;1;0;💞;Symbols
