"id","user","userID","game","gameIndex","achieved","total","percent","common","mangled","passphrase","random","overallTendency","overallRatings","overallScores","overallGuessesLog10","overallGuesses","commonTendency","commonRatings","commonScores","commonGuessesLog10","commonGuesses","mangledTendency","mangledRatings","mangledScores","mangledGuessesLog10","mangledGuesses","passphraseTendency","passphraseRatings","passphraseScores","passphraseGuessesLog10","passphraseGuesses","randomTendency","randomRatings","randomScores","randomGuessesLog10","randomGuesses"
"0","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZB7NInUeS326RpJH","1","1925","3100","63","8","8","11","4","-1","1.967741935483871","2.967741935483871","6.547472393712685","1440744147.8387096","-0.25","1.625","1.875","3.9978581965223428","12994","0.25","2.375","2.125","4.646592531602582","307293.625","-2.6363636363636362","1.3636363636363635","4","8.528730761810923","423682388.90909094","-0.5","3.5","4","10.000000000043428","10000000001"
"1","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZPwLjPIMVa6CLMJe","2","250","300","84","1","1","0","1","-0.6666666666666666","2","2.6666666666666665","6.272665963312046","3333350534.6666665","-1","1","2","4.361009712608142","22962","0","2","2","4.456988177284565","28641","NaN","NaN","NaN","NaN","NaN","-1","3","4","10.000000000043428","10000000001"
"2","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZiu_df88yWUvHxVO","3","1150","1800","64","3","5","7","3","-1","2","3","6.8934543957125065","1384141390.6111112","1","2.6666666666666665","1.6666666666666667","3.409395770859826","9590.666666666666","-0.2","1.8","2","4.921803490979438","111718.6","-2.2857142857142856","1.5714285714285714","3.857142857142857","8.606424287476928","559135380.5714285","-1.3333333333333333","2.6666666666666665","4","9.666668114336654","7000003334"
"3","0J5jNu7OmnVvFidLF8ngEsW7wz13","2","-KYF2x3tmswwWv3nyEGo","1","2775","3700","75","9","11","7","10","0.13513513513513514","3","2.864864864864865","6.662276509104073","2259412222.675676","0.2222222222222222","2.2222222222222223","2","4.149984083981333","15973.111111111111","0.45454545454545453","2.3636363636363638","1.9090909090909092","4.583508733877522","81806.09090909091","-0.14285714285714285","3.7142857142857144","3.857142857142857","8.584118509708825","669311229.7142857","-0.1","3.9","4","9.86469484404042","7891203000.6"
"4","0m5wLBi34UXjHy8LMQeQsGPkqF52","3","-KYF5YwHQHNdlfkjcorJ","1","1200","1600","75","4","5","3","4","-0.375","2.4375","2.8125","6.4724521214228625","2226649261.0625","-0.75","1.25","2","4.087190334411875","13482.75","0.8","2.8","2","4.517954646417019","99353","-1.6666666666666667","2","3.6666666666666665","8.313757158763602","281945826","-0.5","3.5","4","9.9198569741856","8695000000.75"
"5","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYExfrtVM-RNforRAKQ","1","2750","3500","79","12","9","7","7","-0.11428571428571428","2.6857142857142855","2.8","6.267627198298367","2094701757.4285715","0.08333333333333333","2.0833333333333335","2","4.011313163804651","12989.416666666666","0.7777777777777778","2.7777777777777777","2","4.538463922024456","53616.666666666664","-1.1428571428571428","2.857142857142857","4","8.62643123946613","473417582.85714287","-0.5714285714285714","3.4285714285714284","4","10.000000000043428","10000000001"
"6","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYF1HgA5voqFYCO_Zio","2","2125","2800","76","7","3","9","9","-0.8214285714285714","2.3214285714285716","3.142857142857143","7.404848033307294","3317611147.285714","0","2","2","4.117556810165834","14457.142857142857","0.6666666666666666","2.6666666666666665","2","4.780816496541603","94393","-1.4444444444444444","2.111111111111111","3.5555555555555554","8.24115530793642","321414192.8888889","-1.3333333333333333","2.6666666666666665","4","10.000000000043428","10000000001"
"7","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYF1XkgMA8hMuF0165l","3","3075","3700","84","8","8","12","9","-0.02702702702702703","3.027027027027027","3.054054054054054","7.059294057556277","2589283523.5945945","0.125","2.125","2","3.9843835611644947","12688.875","1.25","3.25","2","4.73398151716127","121693.375","-0.8333333333333334","2.9166666666666665","3.75","8.453913291882104","483534608.8333333","-0.2222222222222222","3.7777777777777777","4","10.000000000043428","10000000001"
"8","0uKu07pstJZdQAQACYKEZKwl4kd2","4","-KYF1mD_rWJRSznzISY5","4","3150","3900","81","13","9","10","7","-0.3076923076923077","2.41025641025641","2.717948717948718","6.174734731355628","1828220840.6153846","-0.15384615384615385","1.7692307692307692","1.9230769230769231","3.7687213281714267","12044.461538461539","0.3333333333333333","2.2222222222222223","1.8888888888888888","4.3981263526149155","49447.333333333336","-0.7","2.9","3.6","8.23405129915557","340001117.4","-0.8571428571428571","3.142857142857143","4","9.985375298793002","9700000000.857143"
"9","19TKKRphufR4trh0R1ig4bX6COK2","5","-KcSj6w9ejAerjliLusv","1","1225","2100","59","6","1","6","8","-1.6666666666666667","1.5238095238095237","3.1904761904761907","7.396880789722299","3548140976.952381","-0.8333333333333334","1","1.8333333333333333","3.8407128047855963","13253.666666666666","0","2","2","4.473705886887772","29765","-2.1666666666666665","1.5","3.6666666666666665","8.054192029071437","235141870.33333334","-2.125","1.875","4","9.936420211767285","9137500000.875"
"10","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZbrqYK3cc2nq7qBGt","1","2375","2700","88","5","3","9","10","-0.4074074074074074","3","3.4074074074074074","7.79794318675967","3646376802.740741","0","2","2","4.101985674225777","15961.2","-0.3333333333333333","1.6666666666666667","2","4.4645151914051935","65455.666666666664","0","4","4","8.564299782497008","533543054.6666667","-1","3","4","9.95622940546936","9365001000.9"
"11","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZxOy32YvRJbpn1gAR","2","1025","1200","86","1","6","3","2","-0.4166666666666667","2.5833333333333335","3","6.943941892915795","1916845069.4166667","-1","1","2","4.420945405921971","26360","-0.5","2","2.5","5.508249869722108","105049465.5","0.3333333333333333","4","3.6666666666666665","8.618952696882692","790605892.6666666","-1","3","4","10.000000000043428","10000000001"
"12","1OjmvT2ih6draa2YOyZwuI4ZDRg2","6","-KbZxkGT-OV4HJ4fS9IZ","3","925","1100","85","2","5","1","3","-0.2727272727272727","2.3636363636363638","2.6363636363636362","6.318046249968234","2727797434.7272725","-1","1","2","3.9546078002257796","11084","0","2","2","4.976812335109338","135400.2","-1","2","3","6.705231473522048","5072610","0","4","4","10.000000000043428","10000000001"
