CASE;Alter;IT;Geschlecht;Extraversion;Agreeableness;Conscientiousness;Neuroticism;Openess;PE01;PE02;PE03;PE04;PE05;PE06;PE07;PE08;PE09;PE10;PE11;PE12;PE13;PE14;PE15;PE16;PE17;PE18;PE19;PE20;PE21;emojiPos;twoWordPos;threeClassPos;U101;U103;U104;U201;U202;U203;U301;U302;U303;emojiDif;twoWordDif;threeClassDif;pos1;pos2;pos3;emojiRat;twoWordRat;threeClassRat;emojiTime;twoWordTime;threeClassTime
367;24;1;1;13;18;15;8;20;3;2;4;1;5;3;4;2;5;4;3;1;3;2;3;4;1;4;4;4;2;2;0;1;5;4;1;3;4;3;3;4;3;10,00;14,00;10,00;3;2;1;3;2;1;77724;147376;77556
369;22;1;1;8;9;13;15;16;4;3;4;3;2;2;2;5;2;4;5;4;4;4;3;3;4;4;4;4;3;1;0;2;2;2;4;3;4;2;4;4;2;11,00;6,00;12,00;2;1;3;2;1;3;43684;95601;60376
370;24;1;1;14;15;10;12;24;4;2;3;2;4;5;3;4;4;5;3;2;2;4;5;4;2;3;4;5;1;1;0;2;3;2;3;2;2;4;2;2;4;6,00;8,00;6,00;3;2;1;3;2;1;57241;190490;78410
371;26;1;1;13;12;13;11;19;3;4;4;2;4;3;4;4;4;3;3;3;4;3;4;4;3;3;4;4;2;2;0;1;1;2;5;1;2;5;3;4;3;10,00;4,00;4,00;3;2;1;3;2;1;17007;161907;10577
377;27;1;2;17;12;16;13;23;2;4;5;3;4;4;2;4;2;5;1;2;4;4;4;4;2;5;2;5;1;0;1;2;1;3;4;4;5;2;1;2;4;6,00;13,00;5,00;3;1;2;2;3;1;101216;125009;36957
380;24;2;2;19;15;13;14;16;2;4;2;2;4;5;4;4;2;4;1;1;5;4;2;5;2;4;4;2;2;0;1;2;4;5;4;2;4;4;1;4;5;11,00;8,00;6,00;2;0;2;0;0;0;175032;33742;62433
381;23;1;1;15;9;9;13;11;2;4;2;4;2;3;3;5;4;3;2;4;2;4;2;4;4;4;3;2;4;0;1;2;1;1;5;3;1;3;1;2;5;3,00;7,00;4,00;3;1;2;2;3;1;106834;226633;72659
384;22;1;2;17;8;15;17;20;3;3;5;4;4;5;3;4;2;4;2;5;4;5;5;5;5;4;4;3;2;2;0;1;2;2;4;2;2;4;3;4;4;9,00;6,00;6,00;3;1;2;2;3;1;109320;67365;76886
386;23;2;2;19;14;18;12;22;2;4;5;3;4;5;5;2;3;4;1;2;4;4;5;5;3;5;2;4;1;2;1;0;4;2;3;4;5;3;5;5;2;14,00;12,00;9,00;3;2;1;3;2;1;143802;97075;69985
387;23;1;1;14;12;14;10;16;3;3;4;2;4;4;3;3;3;4;3;2;4;2;4;4;4;3;3;2;4;1;0;2;1;1;5;1;1;4;1;1;5;4,00;3,00;3,00;3;0;3;0;0;0;209682;81728;63432
