CASE;Alter;IT;Geschlecht;Extraversion;Agreeableness;Conscientiousness;Neuroticism;Openess;PE01;PE02;PE03;PE04;PE05;PE06;PE07;PE08;PE09;PE10;PE11;PE12;PE13;PE14;PE15;PE16;PE17;PE18;PE19;PE20;PE21;emojiPos;twoWordPos;threeClassPos;U101;U103;U104;U201;U202;U203;U301;U302;U303;emojiDif;twoWordDif;threeClassDif;pos1;pos2;pos3;emojiRat;twoWordRat;threeClassRat;emojiTime;twoWordTime;threeClassTime
708;22;1;2;10;17;18;17;25;4;1;5;4;5;3;2;2;1;5;3;1;5;4;5;2;1;4;4;5;1;0;1;2;1;2;5;3;4;3;1;2;5;4,00;10,00;4,00;3;1;2;2;3;1;99420;77303;41083
720;25;1;2;12;12;14;12;14;3;3;4;3;3;3;4;4;3;2;3;4;4;2;3;3;3;4;4;3;3;0;1;2;2;3;4;2;3;4;2;2;4;7,00;7,00;6,00;3;2;1;3;2;1;104699;85646;59578
726;26;2;1;16;12;10;9;15;2;4;4;2;4;4;4;4;2;3;2;4;2;1;3;4;2;2;2;3;4;0;2;1;2;2;4;2;2;5;2;4;4;6,00;8,00;5,00;3;2;1;3;2;1;99069;72090;43646
729;21;2;1;16;12;18;18;17;2;2;5;5;5;4;4;2;2;4;2;4;4;5;4;4;4;5;4;2;4;2;1;0;4;5;4;3;3;4;1;2;4;5,00;8,00;11,00;1;2;3;1;2;3;44131;23289;52301
733;27;2;1;16;17;20;7;24;2;2;5;1;5;5;5;1;4;5;3;2;5;2;5;4;2;5;2;5;2;0;1;2;4;4;2;4;4;3;5;5;2;12,00;11,00;14,00;1;2;3;1;2;3;90823;40758;21528
736;23;1;1;7;11;13;17;10;5;4;4;4;2;3;2;4;2;4;5;2;4;4;2;2;3;3;5;1;5;1;0;2;2;2;4;1;1;4;4;4;2;4,00;6,00;12,00;2;1;3;2;1;3;30058;29225;27350
742;23;2;2;19;16;13;6;21;2;2;4;2;5;5;5;5;5;2;1;3;4;2;4;5;2;4;1;5;1;1;0;2;4;5;3;1;4;4;1;2;5;7,00;12,00;4,00;3;2;1;3;2;1;91323;185417;86521
752;23;2;1;6;7;12;15;21;5;3;4;4;3;2;2;5;3;5;5;5;4;5;4;2;5;3;3;5;2;0;2;1;1;3;4;3;4;3;4;5;2;6,00;13,00;10,00;3;2;1;3;2;1;54214;68502;44825
759;23;1;1;15;17;17;8;25;2;1;5;2;5;4;5;3;4;5;3;2;4;2;5;4;3;5;2;5;1;0;1;2;3;4;2;2;2;4;2;2;4;11,00;6,00;6,00;2;3;1;3;1;2;60491;25536;35974
766;23;2;2;20;19;15;14;24;1;2;4;4;4;5;5;3;4;5;1;1;4;5;5;5;1;4;3;5;1;0;2;1;3;2;4;4;3;2;4;3;1;7,00;12,00;11,00;1;2;3;1;2;3;225784;66326;104020
773;23;2;2;8;9;14;18;23;5;2;4;5;5;4;2;3;2;4;5;5;3;5;4;2;4;4;4;5;1;0;1;2;2;2;4;3;3;2;2;2;4;6,00;10,00;6,00;1;3;2;1;3;2;83042;39259;22851
775;23;2;1;16;17;15;9;22;2;3;4;2;4;3;5;3;4;5;2;1;3;3;4;5;2;5;2;4;1;2;1;0;2;2;4;1;1;4;2;2;5;5,00;4,00;6,00;3;0;3;0;0;0;104802;78149;65087
778;24;1;1;13;10;13;13;16;3;4;4;2;5;4;4;4;2;5;3;3;4;4;2;3;5;3;3;2;4;0;1;2;3;5;4;2;4;3;2;5;3;10,00;9,00;10,00;3;2;1;3;2;1;98914;19231;12683
799;25;2;2;5;12;10;16;17;5;4;5;5;3;2;4;5;4;5;5;4;2;4;4;1;2;2;5;3;4;1;0;2;1;1;5;3;5;3;1;1;5;11,00;3,00;3,00;3;2;1;3;2;1;188664;107167;47630
801;26;2;2;18;9;18;14;11;2;5;5;2;3;4;3;2;3;3;1;2;5;5;2;5;5;4;4;2;5;2;0;1;3;4;4;3;4;5;1;2;4;5,00;9,00;8,00;1;2;3;1;2;3;98043;66333;89820
804;19;1;2;18;17;11;13;21;2;2;4;4;4;4;5;4;3;4;1;2;3;3;5;5;2;2;3;4;2;2;0;1;3;2;3;4;4;2;2;2;3;7,00;8,00;12,00;1;2;3;1;2;3;114208;67820;89494
805;23;1;1;20;13;12;8;22;1;4;4;2;5;5;4;4;4;5;1;2;4;2;4;5;3;2;2;4;2;2;0;1;2;2;3;2;2;3;2;2;3;7,00;7,00;7,00;3;1;2;2;3;1;36488;58079;28865
808;23;1;1;14;9;8;9;18;2;4;3;2;4;2;2;5;4;4;2;3;2;4;3;4;4;2;1;4;3;1;2;0;2;4;4;4;5;4;2;4;3;11,00;9,00;8,00;3;2;1;3;2;1;65699;16947;61813
809;25;1;2;14;13;11;9;20;3;2;3;2;4;3;4;4;4;4;2;4;2;3;4;4;3;4;2;4;2;2;0;1;3;4;2;3;4;2;3;4;2;11,00;11,00;11,00;3;1;2;2;3;1;72799;105956;79176
810;27;1;1;14;15;12;16;22;3;2;4;4;4;4;5;4;2;4;3;4;2;4;4;4;2;4;4;5;1;2;1;0;1;2;5;1;2;5;1;2;5;4,00;4,00;4,00;3;2;1;3;2;1;46558;47305;45585
811;23;2;1;14;12;11;16;23;4;2;3;4;4;4;4;4;2;5;2;5;2;4;4;4;3;4;4;5;1;0;1;2;1;1;5;1;1;5;1;1;5;3,00;3,00;3,00;1;3;2;1;3;2;70313;92498;37966
814;26;1;1;15;9;10;14;22;4;4;4;4;4;5;2;4;2;5;2;4;3;2;4;4;3;1;4;5;2;0;1;2;2;3;4;3;4;4;2;5;4;7,00;9,00;9,00;3;2;1;3;2;1;147732;51617;31725
816;25;2;2;9;13;11;17;15;4;2;4;5;4;2;4;4;3;5;4;4;1;5;2;3;3;4;4;2;4;1;0;2;2;2;2;1;2;5;2;2;4;4,00;8,00;6,00;3;1;2;2;3;1;96793;228988;52530
825;22;2;1;15;16;8;13;24;2;2;2;4;5;3;3;5;4;5;2;2;3;5;4;4;1;2;2;5;1;2;1;0;1;3;5;1;3;5;1;3;5;5,00;5,00;5,00;1;3;2;1;3;2;92360;50713;127548
832;21;2;2;15;20;18;10;22;2;1;5;3;3;3;5;2;4;4;2;1;4;3;5;4;1;5;2;5;1;0;1;2;2;4;4;2;5;3;2;5;3;8,00;10,00;10,00;1;2;3;1;2;3;51008;40205;27691
841;28;2;1;9;10;13;17;17;4;2;5;4;2;4;2;4;2;4;5;4;4;5;4;2;4;2;4;4;3;0;2;1;5;5;2;5;5;1;5;5;1;14,00;15,00;15,00;1;3;2;1;3;2;103740;22837;29246
