id;N;N;N;N;N;N;N;N;N;N;E;E;E;E;E;E;E;E;E;E;O;O;O;O;O;O;O;O;O;O;A;A;A;A;A;A;A;A;A;A;C;C;C;C;C;C;C;C;C;C
3;2;2;2;2;1;1;2;2;1;3;4;4;4;4;4;3;4;4;4;4;5;5;4;4;5;5;4;5;5;5;5;5;5;4;5;4;5;5;4;5;4;4;4;4;4;5;4;3;4;4
4;1;1;2;2;2;2;2;2;2;2;3;2;2;3;3;2;3;4;2;4;4;3;3;4;4;4;4;5;5;5;4;3;4;4;4;4;5;5;4;4;4;5;4;4;4;4;4;4;4;5
7;2;2;4;2;1;4;2;4;4;3;3;2;2;3;4;1;3;2;3;3;4;3;4;4;3;4;4;4;3;4;2;3;4;2;5;3;5;5;4;3;3;2;3;1;2;2;2;3;4;3
8;1;3;3;3;3;1;1;3;5;2;5;5;3;5;5;4;5;5;5;5;3;5;4;3;3;5;5;3;3;3;2;5;3;5;3;3;3;5;5;3;4;5;5;5;5;5;5;3;3;3
9;2;4;2;2;3;2;2;4;3;2;2;4;2;1;2;3;3;1;3;2;4;4;3;3;2;2;5;3;3;2;2;2;4;4;2;4;2;4;4;2;3;5;4;4;2;4;3;2;4;4
10;4;5;5;5;3;4;4;5;5;5;2;1;1;3;4;1;3;2;2;4;3;2;3;3;1;1;4;3;3;1;5;3;3;3;5;1;3;5;4;2;3;4;3;4;3;5;2;3;4;3
12;1;3;1;4;2;1;1;4;1;3;4;4;3;5;3;3;4;2;1;5;2;1;1;2;2;2;3;4;3;2;5;4;4;3;3;4;4;5;4;4;4;3;5;4;4;4;2;5;4;5
13;2;2;4;2;4;2;2;2;2;2;4;4;3;2;4;4;4;2;4;4;4;5;4;5;4;3;5;5;3;4;3;4;4;4;4;5;2;4;4;2;2;2;4;4;2;4;2;4;4;2
14;2;1;2;2;1;2;2;4;2;3;4;4;3;4;4;3;5;5;4;4;5;5;4;1;4;5;4;4;4;5;2;4;4;4;3;2;3;3;4;4;4;3;4;4;4;4;4;3;4;4
15;1;1;3;2;2;1;2;3;2;2;5;4;4;4;5;3;5;5;4;4;4;5;4;3;4;5;4;5;5;5;3;4;5;4;5;4;2;4;5;3;4;4;4;4;3;4;5;5;5;4
16;1;1;2;3;1;1;1;1;2;1;3;3;5;2;4;5;2;3;2;1;5;4;3;5;4;5;5;4;4;5;5;4;5;4;5;4;3;3;5;4;5;2;4;4;2;5;4;4;4;4
18;1;1;3;2;1;3;1;1;3;2;4;3;2;3;4;3;4;4;3;4;4;4;4;4;5;4;5;3;3;4;2;3;4;4;5;5;2;4;5;4;5;2;2;2;4;4;4;4;5;3
19;1;2;4;2;2;3;2;4;4;3;4;3;3;3;3;2;3;3;2;3;4;4;3;4;3;5;4;2;2;4;2;3;4;3;4;4;4;5;4;5;4;2;3;4;3;4;2;3;3;4
20;1;4;4;3;2;3;2;3;3;3;4;3;3;3;4;3;3;3;3;3;4;4;4;4;4;4;5;5;3;4;3;5;4;4;5;4;5;5;4;4;2;2;2;5;3;4;4;4;3;3
21;1;1;1;1;1;1;1;2;1;1;5;4;4;5;4;4;4;4;4;1;4;4;4;4;3;3;4;5;5;3;1;4;4;3;4;4;4;5;4;4;4;3;4;4;4;5;4;4;4;4
22;2;4;4;2;5;2;2;2;1;2;2;1;2;4;2;1;2;2;2;5;5;5;5;5;5;5;5;4;4;5;2;2;2;3;2;2;2;2;4;2;4;2;2;4;2;4;1;2;5;2
