Z_id;D_Gender;D_Age;D_Education;D_ProlificEducation;D_Employment;D_Student;D_ComputerScienceBackground;D_Programming;D_Nation;C_Length;C_Strength;C_Upper;C_Digits;C_Symbols;C_ClassDelta;B5_Neuroticism;B5_Extraversion;B5_Openness;B5_Agreeableness;B5_Conscientiousness;SeBIS_Securement;SeBIS_Passwords;SeBIS_Awareness;SeBIS_Updating;GDMS_Rational;GDMS_Intuitive;GDMS_Dependent;GDMS_Avoidant;GDMS_Spontaneous
3;Female;29;Bachelor's degree;Undergraduate degree (BA/BSc/other);Health Care and Social Assistance;No;No;No;United States;29;35;29;26;26;57;18;39;47;47;40;12;14;20;13;24;6;18;20;5
4;Male;36;Bachelor's degree;Undergraduate degree (BA/BSc/other);Scientific or Technical Services;No;Yes;Yes;United States;25;32;28;30;29;63;18;28;41;41;42;18;12;9;13;24;6;13;5;10
7;Male;26;Bachelor's degree;Secondary school/GCSE;Student;Yes;No;No;Serbia;20;25;26;33;27;62;28;26;37;36;25;6;12;17;12;21;18;11;20;11
8;Female;51;Bachelor's degree;Undergraduate degree (BA/BSc/other);Homemaker;No;No;No;United Kingdom;23;27;26;35;22;59;25;47;37;37;43;18;14;11;13;15;15;15;15;15
9;Male;20;Vocational/technical school (2 year);College/A levels;Student;Yes;Yes;Yes;United Kingdom;20;28;27;35;28;66;26;23;31;30;35;19;14;11;10;21;17;18;11;14
10;Female;45;Vocational/technical school (2 year);College/A levels;Homemaker;No;No;Yes;United Kingdom;18;29;25;33;19;53;45;23;24;34;34;8;10;8;11;20;20;17;10;13
12;Female;33;Vocational/technical school (2 year);Undergraduate degree (BA/BSc/other);Other;No;No;No;United Kingdom;21;28;26;35;17;54;21;34;22;40;40;11;13;8;9;18;14;17;12;9
13;Male;22;High school ore equivalent;College/A levels;Health Care and Social Assistance;Yes;No;No;Bulgaria;25;28;26;31;32;65;24;35;42;36;30;17;16;19;10;16;22;10;10;20
14;Male;21;Professional degree (MD, JD, etc.);College/A levels;Scientific or Technical Services;Yes;No;No;Poland;22;33;29;27;27;59;21;40;41;33;38;17;10;15;11;20;11;11;11;12
15;Male;29;Master's degree;Graduate degree (MA/MSc/MPhil/other);Other;No;No;No;Portugal;20;29;26;31;18;51;19;43;44;39;42;16;16;10;11;21;17;17;14;14
16;Male;23;Professional degree (MD, JD, etc.);Undergraduate degree (BA/BSc/other);Student;Yes;No;Yes;Spain;19;33;32;28;26;62;14;30;44;42;38;14;14;16;11;24;18;22;6;9
18;Male;21;Bachelor's degree;College/A levels;Student;Yes;No;Yes;Spain;19;26;28;39;24;67;18;34;40;38;35;15;15;19;12;23;12;11;17;13
19;Female;57;Master's degree;Graduate degree (MA/MSc/MPhil/other);Arts, Entertainment;No;No;No;United Kingdom;26;28;20;30;18;44;27;29;35;38;32;12;14;12;12;20;13;13;12;15
20;Female;27;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;No;Yes;Yes;United States;25;34;23;30;16;45;28;32;41;43;32;18;12;9;12;20;12;15;16;11
21;Male;35;Master's degree;Graduate degree (MA/MSc/MPhil/other);Telecommunications;No;Yes;Yes;South Africa;22;31;24;28;20;48;11;39;39;37;40;17;14;16;11;20;13;14;10;16
22;Female;26;Bachelor's degree;Undergraduate degree (BA/BSc/other);Software;Yes;Yes;Yes;Mauritius;18;26;28;33;20;57;26;23;48;23;28;15;13;14;13;24;20;23;24;12
23;Male;39;Bachelor's degree;Undergraduate degree (BA/BSc/other);Government and Public Administration;No;No;No;Bosnia and Herzegovina;20;28;26;33;24;59;35;23;34;35;26;16;11;13;7;20;15;18;16;16
24;Female;26;Master's degree;Graduate degree (MA/MSc/MPhil/other);Arts, Entertainment;No;No;No;Netherlands;20;29;22;29;13;40;36;25;40;36;26;11;14;15;12;19;17;20;15;11
