subject;D_Gender;D_Age;D_ComputerScienceBackground;etuhcarap;AbWxCdYz;hagrqqqqthhbbe;a6a4ba8a;"	thedzfhg123";11Nd1sPPut8ble99;F@m1Ly07%;bicycles-peaches-cold;ocean4 Size !beer Car;AatIcs,ijayl-t;1qaz2wsx3edc;p@ssw0rd;ieatkale88;B5_Neuroticism;B5_Extraversion;B5_Openness;B5_Agreeableness;B5_Conscientiousness
3;Female;29;No;5;3;3;5;4;6;7;7;6;6;6;1;2;18;39;47;47;40
4;Male;36;Yes;6;2;1;1;2;5;7;4;7;3;5;1;1;18;28;41;41;42
7;Male;26;No;1;5;1;2;2;7;7;1;7;3;2;1;2;28;26;37;36;25
8;Female;51;No;5;3;4;3;3;6;7;4;5;6;6;2;7;25;47;37;37;43
9;Male;20;Yes;2;4;5;7;5;6;6;3;7;3;4;4;4;26;23;31;30;35
10;Female;45;No;6;5;5;5;4;7;7;5;7;6;4;1;2;45;23;24;34;34
12;Female;33;No;7;3;7;7;6;7;6;7;6;6;6;2;7;21;34;22;40;40
13;Male;22;No;4;5;7;5;7;4;6;6;6;6;4;5;7;24;35;42;36;30
14;Male;21;No;1;2;2;4;5;3;3;5;5;4;5;2;2;21;40;41;33;38
15;Male;29;No;5;2;4;2;4;7;6;5;6;7;7;1;5;19;43;44;39;42
16;Male;23;No;6;4;4;5;5;7;7;5;6;7;5;2;5;14;30;44;42;38
18;Male;21;No;5;4;4;3;4;5;6;5;3;6;3;2;3;18;34;40;38;35
19;Female;57;No;5;4;7;7;3;7;3;4;3;6;7;5;3;27;29;35;38;32
20;Female;27;Yes;1;2;5;4;5;4;4;2;7;3;4;1;5;28;32;41;43;32
21;Male;35;Yes;4;3;5;3;3;6;3;5;7;6;6;1;4;11;39;39;37;40
22;Female;26;Yes;6;5;1;2;5;6;6;1;6;6;2;1;5;26;23;48;23;28
23;Male;39;No;6;2;2;5;4;4;3;2;4;4;4;5;4;35;23;34;35;26
24;Female;26;No;2;4;5;7;4;7;7;2;3;3;7;1;2;36;25;40;36;26
25;Female;27;No;6;7;2;4;4;3;4;2;5;6;3;1;2;33;16;45;47;35
26;Male;23;No;2;3;2;4;4;3;7;5;6;6;3;1;5;17;34;33;39;34
28;Female;22;Yes;2;4;5;2;2;4;7;2;5;6;4;1;4;24;36;32;33;36
29;Male;31;Yes;1;5;1;3;5;3;6;4;6;3;3;7;4;33;22;27;34;19
31;Female;16;No;6;4;5;1;2;6;7;5;4;7;1;5;3;40;32;41;30;30
32;Female;39;No;5;3;7;3;3;6;6;3;6;6;6;1;3;35;10;39;31;24
