id;D_Gender;D_Age;D_Education;D_Student;D_ComputerScienceBackground;D_Nation;D_ProlificApprovals;Meta_Length;Meta_Lowercase;Meta_Uppercase;Meta_Digits;Meta_Special;Meta_Words;Meta_Plausible;Meta_Number Positions;Meta_Symbol Positions;G_Overall;G_LengthLong;G_LengthShort;G_Weak;G_Medium;G_Strong;G_Complex4class;G_Random2class;G_Passphrase;G_Common;G_Pattern;G_Special;G_Digits;G_Uppercase;B5_Neuroticism;B5_Extraversion;B5_Openness;B5_Agreeableness;B5_Conscientiousness;SeBIS_Securement;SeBIS_Passwords;SeBIS_Awareness;SeBIS_Updating;GDMS_Rational;GDMS_Intuitive;GDMS_Dependent;GDMS_Avoidant;GDMS_Spontaneous
3;Female;29;Bachelor's degree;No;No;United States;122;9;9;0;2;0;0;No;Only at the end;Number(s)/Symbol(s) not existing;61;34;27;12;17;28;19;7;13;8;14;27;37;28;18;39;47;47;40;12;14;20;13;24;6;18;20;5
4;Male;36;Bachelor's degree;No;Yes;United States;300;12;6;2;3;1;2;Yes;Only at the end;Second from last;45;25;20;12;11;20;15;4;11;8;7;22;29;24;18;28;41;41;42;18;12;9;13;24;6;13;5;10
7;Male;26;Bachelor's degree;Yes;No;Serbia;54;15;13;0;2;0;2;Yes;Only at the end;Number(s)/Symbol(s) not existing;41;21;20;4;16;19;17;7;8;4;5;19;30;29;28;26;37;36;25;6;12;17;12;21;18;11;20;11
8;Female;51;Bachelor's degree;No;No;United Kingdom;2;5;3;1;1;0;0;Yes;Only at the beginning;Number(s)/Symbol(s) not existing;61;31;30;13;20;25;19;6;9;14;13;24;39;27;25;47;37;37;43;18;14;11;13;15;15;15;15;15
9;Male;20;Vocational/technical school (2 year);Yes;Yes;United Kingdom;5;22;20;1;1;0;5;Yes;Second;Number(s)/Symbol(s) not existing;60;28;32;10;21;24;15;9;10;10;16;23;43;26;26;23;31;30;35;19;14;11;10;21;17;18;11;14
10;Female;45;Vocational/technical school (2 year);No;No;United Kingdom;64;6;2;0;2;0;1;No;Only at the end;Number(s)/Symbol(s) not existing;64;34;30;11;19;30;20;9;12;9;14;26;37;32;45;23;24;34;34;8;10;8;11;20;20;17;10;13
12;Female;33;Vocational/technical school (2 year);No;No;United Kingdom;20;9;6;2;1;0;2;Yes;Only at the end;Number(s)/Symbol(s) not existing;77;39;38;15;23;33;19;9;13;16;20;27;47;28;21;34;22;40;40;11;13;8;9;18;14;17;12;9
13;Male;22;High school ore equivalent;Yes;No;Bulgaria;4;9;1;0;8;0;0;Yes;Multiple Numbers / Symbols;Only at the beginning;72;33;39;13;23;29;16;12;12;16;16;29;44;27;24;35;42;36;30;17;16;19;10;16;22;10;10;20
14;Male;21;Professional degree (MD, JD, etc.);Yes;No;Poland;2;9;6;1;1;1;0;Yes;Second from last;Only at the beginning;43;24;19;8;11;19;10;7;10;5;11;19;29;17;21;40;41;33;38;17;10;15;11;20;11;11;11;12
15;Male;29;Master's degree;No;No;Portugal;5;8;5;0;3;0;0;Yes;Second;Number(s)/Symbol(s) not existing;61;36;25;13;15;29;20;6;11;11;13;25;38;28;19;43;44;39;42;16;16;10;11;21;17;17;14;14
