                             vars   n  mean     sd median trimmed   mad min max range  skew kurtosis    se
X...id                          1 100 83.28  56.66   66.5   81.81 66.72   3 176   173  0.30    -1.48  5.67
D_Gender*                       2 100  1.42   0.50    1.0    1.40  0.00   1   2     1  0.32    -1.92  0.05
D_Age                           3 100 28.58   8.64   26.0   27.34  7.41  16  61    45  1.37     1.87  0.86
D_Education*                    4 100  3.44   2.50    4.0    3.19  4.45   1   8     7  0.44    -1.20  0.25
D_Student*                      5 100  1.44   0.50    1.0    1.43  0.00   1   2     1  0.24    -1.96  0.05
D_ComputerScienceBackground*    6 100  1.29   0.46    1.0    1.24  0.00   1   2     1  0.91    -1.18  0.05
D_Nation*                       7 100 21.39   9.35   26.0   22.52  5.93   1  31    30 -0.77    -0.91  0.93
D_ProlificApprovals             8 100 64.72 107.89   27.5   37.98 29.65   1 598   597  2.97     9.15 10.79
Meta_Length                     9 100 10.25   3.15    9.0   10.01  1.48   2  22    20  0.84     1.28  0.32
Meta_Lowercase                 10 100  6.26   3.42    6.0    6.01  2.97   0  20    20  0.85     1.54  0.34
Meta_Uppercase                 11 100  1.04   1.15    1.0    0.85  1.48   0   5     5  1.33     1.61  0.12
Meta_Digits                    12 100  2.96   2.77    2.0    2.45  1.48   0  16    16  2.23     5.98  0.28
Meta_Special                   13 100  0.61   1.16    0.0    0.39  0.00   0   9     9  4.18    25.29  0.12
Meta_Words                     14 100  1.61   2.14    1.0    1.14  1.48   0  12    12  2.62     7.69  0.21
Meta_Plausible*                15 100  1.76   0.43    2.0    1.82  0.00   1   2     1 -1.20    -0.57  0.04
Meta_Number.Positions*         16 100  3.45   1.78    4.0    3.35  1.48   1   7     6  0.09    -0.78  0.18
Meta_Symbol.Positions*         17 100  3.06   1.75    2.0    2.83  0.00   1   7     6  1.05    -0.15  0.18
G_Overall                      18 100 55.54   9.46   56.0   55.77  8.90  29  77    48 -0.24     0.08  0.95
G_LengthLong                   19 100 28.20   5.25   28.5   28.31  5.19  18  39    21 -0.15    -0.90  0.52
G_LengthShort                  20 100 27.34   5.93   27.0   27.30  5.93  10  40    30 -0.12    -0.04  0.59
G_Weak                         21 100 10.79   3.21   11.0   10.82  2.97   3  18    15 -0.15    -0.42  0.32
G_Medium                       22 100 16.99   3.81   17.0   17.05  2.97   7  27    20 -0.11     0.22  0.38
G_Strong                       23 100 23.55   4.51   24.0   23.71  5.93  13  33    20 -0.26    -0.73  0.45
G_Complex4class                24 100 16.08   3.03   17.0   16.29  2.97   9  21    12 -0.58    -0.55  0.30
G_Random2class                 25 100  8.07   2.69    8.0    8.06  2.97   2  14    12  0.06    -0.10  0.27
G_Passphrase                   26 100  9.14   2.72    9.0    9.24  2.97   2  14    12 -0.31    -0.50  0.27
G_Common                       27 100  9.87   3.35    9.0    9.85  2.97   3  18    15  0.07    -0.53  0.34
G_Pattern                      28 100 12.38   3.65   13.0   12.44  2.97   3  21    18 -0.19    -0.33  0.36
G_Special                      29 100 22.13   4.60   22.0   22.21  4.45  10  32    22 -0.12    -0.48  0.46
G_Digits                       30 100 34.92   6.10   35.0   34.94  5.93  18  50    32 -0.03    -0.14  0.61
G_Uppercase                    31 100 25.20   3.96   26.0   25.40  2.97  16  33    17 -0.41    -0.45  0.40
B5_Neuroticism                 32 100 27.74   7.95   26.5   27.43  8.90  10  48    38  0.29    -0.49  0.79
B5_Extraversion                33 100 29.26   8.62   29.0   29.39  8.90  10  48    38 -0.07    -0.67  0.86
B5_Openness                    34 100 36.72   6.39   37.0   37.00  5.93  15  49    34 -0.53     0.54  0.64
B5_Agreeableness               35 100 36.09   5.04   36.0   36.24  4.45  22  47    25 -0.27     0.05  0.50
B5_Conscientiousness           36 100 33.57   6.28   34.0   33.58  5.93  19  50    31  0.00    -0.45  0.63
SeBIS_Securement               37 100 13.88   4.40   15.0   14.20  4.45   4  20    16 -0.52    -0.82  0.44
SeBIS_Passwords                38 100 13.60   1.83   14.0   13.62  1.48   9  18     9 -0.07    -0.03  0.18
SeBIS_Awareness                39 100 13.40   2.96   13.0   13.30  2.97   7  22    15  0.28    -0.31  0.30
SeBIS_Updating                 40 100 10.83   2.33   11.0   10.89  2.97   4  15    11 -0.27    -0.29  0.23
GDMS_Rational                  41 100 20.32   3.28   20.0   20.57  2.97  10  25    15 -0.72     0.53  0.33
GDMS_Intuitive                 42 100 16.28   4.05   16.0   16.36  4.45   6  25    19 -0.19    -0.10  0.40
GDMS_Dependent                 43 100 17.27   4.28   18.0   17.45  4.45   5  25    20 -0.50    -0.04  0.43
GDMS_Avoidant                  44 100 14.13   5.14   14.5   14.05  5.93   5  25    20  0.13    -0.83  0.51
GDMS_Spontaneous               45 100 13.05   4.30   13.0   12.97  4.45   5  25    20  0.22    -0.08  0.43
