                         vars   n         mean           sd      median      trimmed          mad    min
X...CASE                    1 176 2.973000e+02 1.016600e+02 2.91000e+02 2.912500e+02       116.38 138.00
pw1*                        2 176 8.756000e+01 5.086000e+01 8.75000e+01 8.750000e+01        65.23   1.00
pw2*                        3 176 7.423000e+01 4.982000e+01 7.35000e+01 7.355000e+01        65.23   1.00
memorized                   4 176 9.000000e-01 3.000000e-01 1.00000e+00 9.900000e-01         0.00   0.00
forgot                      5 176 1.000000e-01 3.000000e-01 0.00000e+00 0.000000e+00         0.00   0.00
failures                    6 176 1.500000e-01 3.600000e-01 0.00000e+00 7.000000e-02         0.00   0.00
writeDown                   7 176 2.480000e+00 7.200000e-01 3.00000e+00 2.600000e+00         0.00   1.00
numPwsCategories            8 176 1.480000e+00 7.300000e-01 1.00000e+00 1.360000e+00         0.00   1.00
reuse                       9 176 8.900000e-01 3.100000e-01 1.00000e+00 9.900000e-01         0.00   0.00
PW04                       10 176 1.390000e+00 1.690000e+00 1.00000e+00 1.300000e+00         1.48  -1.00
Cat_strength               11 176 3.600000e-01 4.800000e-01 0.00000e+00 3.300000e-01         0.00   0.00
Cat_frequency              12 176 2.000000e-01 4.000000e-01 0.00000e+00 1.300000e-01         0.00   0.00
Cat_purpose                13 176 3.000000e-01 4.600000e-01 0.00000e+00 2.500000e-01         0.00   0.00
Cat_importance             14 176 4.000000e-01 4.900000e-01 0.00000e+00 3.800000e-01         0.00   0.00
Cat_length                 15 176 2.300000e-01 4.200000e-01 0.00000e+00 1.600000e-01         0.00   0.00
Cat_meaningfulness         16 176 4.000000e-02 2.000000e-01 0.00000e+00 0.000000e+00         0.00   0.00
Cat_other                  17 176 7.000000e-02 2.500000e-01 0.00000e+00 0.000000e+00         0.00   0.00
E1R                        18 176 2.840000e+00 1.150000e+00 3.00000e+00 2.810000e+00         1.48   1.00
E2                         19 176 2.260000e+00 9.100000e-01 2.00000e+00 2.190000e+00         1.48   1.00
E3R                        20 176 2.700000e+00 1.200000e+00 2.00000e+00 2.660000e+00         1.48   1.00
E4                         21 176 2.360000e+00 1.120000e+00 2.00000e+00 2.270000e+00         1.48   1.00
A1R                        22 176 3.090000e+00 9.900000e-01 3.00000e+00 3.110000e+00         1.48   1.00
A2                         23 176 2.380000e+00 1.150000e+00 2.00000e+00 2.280000e+00         1.48   1.00
A3R                        24 176 3.420000e+00 1.240000e+00 4.00000e+00 3.490000e+00         1.48   1.00
A4R                        25 176 3.050000e+00 1.200000e+00 3.00000e+00 3.050000e+00         1.48   1.00
C1                         26 176 1.910000e+00 8.400000e-01 2.00000e+00 1.800000e+00         0.00   1.00
C2R                        27 176 3.270000e+00 1.200000e+00 3.00000e+00 3.310000e+00         1.48   1.00
C3                         28 176 2.160000e+00 9.100000e-01 2.00000e+00 2.060000e+00         0.00   1.00
C4                         29 176 2.200000e+00 9.200000e-01 2.00000e+00 2.110000e+00         0.00   1.00
N1                         30 176 3.280000e+00 1.140000e+00 3.00000e+00 3.290000e+00         1.48   1.00
N2R                        31 176 3.160000e+00 1.110000e+00 3.00000e+00 3.150000e+00         1.48   1.00
N3                         32 176 2.640000e+00 1.210000e+00 2.00000e+00 2.580000e+00         1.48   1.00
N4                         33 176 2.900000e+00 1.110000e+00 3.00000e+00 2.910000e+00         1.48   1.00
O1                         34 176 1.790000e+00 8.600000e-01 2.00000e+00 1.650000e+00         1.48   1.00
O2                         35 176 1.820000e+00 8.300000e-01 2.00000e+00 1.720000e+00         1.48   1.00
